Date,Campus,Block,Count,Recorded by,Source,When entered
2026-05-13,Fayetteville,Noon - 4:30 PM,7,,LimeSurvey 170,
2026-05-14,Fayetteville,7:30 AM - Noon,4,,LimeSurvey 170,
2026-05-14,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 170,
2026-05-15,Fayetteville,7:30 AM - Noon,2,,LimeSurvey 170,
2026-05-15,Fayetteville,Noon - 4:30 PM,5,,LimeSurvey 170,
2026-05-18,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 173,
2026-05-18,Fayetteville,Noon - 4:30 PM,5,,LimeSurvey 173,
2026-05-19,Fayetteville,7:30 AM - Noon,15,,LimeSurvey 173,
2026-05-19,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 173,
2026-05-20,Fayetteville,7:30 AM - Noon,7,,LimeSurvey 173,
2026-05-20,Fayetteville,Noon - 4:30 PM,10,,LimeSurvey 173,
2026-05-21,Fayetteville,7:30 AM - Noon,8,,LimeSurvey 173,
2026-05-21,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 173,
2026-06-01,Fayetteville,7:30 AM - Noon,15,,LimeSurvey 179,
2026-06-01,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 179,
2026-06-02,Fayetteville,7:30 AM - Noon,10,,LimeSurvey 179,
2026-06-02,Fayetteville,Noon - 4:30 PM,9,,LimeSurvey 179,
2026-06-03,Fayetteville,7:30 AM - Noon,14,,LimeSurvey 179,
2026-06-03,Fayetteville,Noon - 4:30 PM,4,,LimeSurvey 179,
2026-06-04,Fayetteville,7:30 AM - Noon,12,,LimeSurvey 179,
2026-06-04,Fayetteville,Noon - 4:30 PM,2,,LimeSurvey 179,
2026-06-15,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 226,
2026-06-15,Fayetteville,Noon - 4:30 PM,7,,LimeSurvey 226,
2026-06-16,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 226,
2026-06-16,Fayetteville,Noon - 4:30 PM,31,,LimeSurvey 226,
2026-06-17,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 226,
2026-06-17,Fayetteville,Noon - 4:30 PM,56,,LimeSurvey 226,
2026-06-18,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 226,
2026-06-18,Fayetteville,Noon - 4:30 PM,0,,LimeSurvey 226,
2026-06-19,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 226,
2026-06-19,Fayetteville,Noon - 4:30 PM,0,,LimeSurvey 226,
2026-06-22,Fayetteville,7:30 AM - Noon,37,,LimeSurvey 225,
2026-06-22,Fayetteville,Noon - 4:30 PM,51,,LimeSurvey 225,
2026-06-23,Fayetteville,7:30 AM - Noon,24,,LimeSurvey 225,
2026-06-23,Fayetteville,Noon - 4:30 PM,34,,LimeSurvey 225,
2026-06-24,Fayetteville,7:30 AM - Noon,20,,LimeSurvey 225,
2026-06-24,Fayetteville,Noon - 4:30 PM,11,,LimeSurvey 225,
2026-06-25,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 225,
2026-06-25,Fayetteville,Noon - 4:30 PM,0,,LimeSurvey 225,
2026-06-26,Fayetteville,7:30 AM - Noon,0,,LimeSurvey 225,
2026-06-26,Fayetteville,Noon - 4:30 PM,0,,LimeSurvey 225,
2026-06-29,Fayetteville,7:30 AM - Noon,34,,LimeSurvey 215,
2026-06-29,Fayetteville,Noon - 4:30 PM,8,,LimeSurvey 215,
2026-06-30,Fayetteville,7:30 AM - Noon,23,,LimeSurvey 215,
2026-06-30,Fayetteville,Noon - 4:30 PM,6,,LimeSurvey 215,
